State transition: J2-6_5, time: 19
State transition: J2-5_7, time: 8
State transition: J2-7_3, time: 1
State transition: J2-3_6, time: 20
State transition: J2-6_3, time: 1
State transition: J2-3_6, time: 19
State transition: J2-6_3, time: 1
State transition: J2-3_6, time: 20
State transition: J2-6_0, time: 1
State transition: J2-0_3, time: 1
State transition: J2-3_0, time: 1
State transition: J2-0_3, time: 1
State transition: J2-3_0, time: 1
State transition: J2-0_3, time: 1
State transition: J2-3_0, time: 20
State transition: J2-0_3, time: 1
State transition: J2-3_0, time: 18
