Transitions and time:
	J2-0_4, 1
	J2-4_7, 1
	J2-7_4, 1
	J2-4_7, 1
	J2-7_8, 1
	J2-8_3, 1
	J2-3_8, 1
	J2-8_3, 1
	J2-3_5, 1
	J2-5_3, 1
	J2-3_8, 1
	J2-8_3, 21
	J2-3_1, 1
	J2-1_8, 19
	J2-8_1, 1
	J2-1_8, 3
	J2-8_3, 21
	J2-3_5, 1
	J2-5_3, 1
	J2-3_5, 1
	J2-5_8, 1
	J2-8_1, 1
	J2-1_8, 1
	J2-8_1, 1
	J2-1_8, 4
	J2-8_3, 22
	J2-3_5, 1
	J2-5_3, 1
	J2-3_5, 1
	J2-5_3, 1
	J2-3_8, 1
	J2-8_3, 1
	J2-3_5, 1
	J2-5_3, 1
	J2-3_5, 1
	J2-5_8, 1
	J2-8_3, 1
	J2-3_1, 1
	J2-1_8, 3
	J2-8_3, 1
	J2-3_5, 1
	J2-5_8, 1
	J2-8_3, 21
	J2-3_8, 1
	J2-8_1, 3
	J2-1_8, 3
	J2-8_3, 1
	J2-3_5, 1
	J2-5_3, 1
	J2-3_5, 1
	J2-5_3, 1
	J2-3_1, 1
	J2-1_8, 1
	J2-8_3, 1
	J2-3_8, 1
	J2-8_1, 61
	J2-1_8, 1
	J2-8_3, 20
	J2-3_1, 21
	J2-1_8, 19
	J2-8_3, 21
	J2-3_1, 1
	J2-1_8, 19
	J2-8_3, 21
	J2-3_8, 1
	J2-8_3, 1
	J2-3_8, 1
	J2-8_3, 1
	J2-3_1, 1
	J2-1_8, 1
	J2-8_1, 1
	J2-1_8, 2
	J2-8_3, 1
	J2-3_8, 1
	J2-8_1, 3
	J2-1_8, 1
	J2-8_3, 21
	J2-3_1, 21
	J2-1_8, 20
	J2-8_3, 20
	J2-3_5, 1
	J2-5_8, 1
	J2-8_3, 1
	J2-3_5, 1
	J2-5_3, 1
	J2-3_5, 4
	J2-5_8, 1
	J2-8_3, 1
	J2-3_1, 1
	J2-1_8, 19
	J2-8_1, 1
	J2-1_8, 2
	J2-8_3, 20
	J2-3_8, 1
	J2-8_1, 1
	J2-1_8, 19
	J2-8_3, 1
	J2-3_1, 1
	J2-1_8, 1
	J2-8_3, 1
	J2-3_1, 1
	J2-1_8, 19
	J2-8_3, 1
	J2-3_1, 1
	J2-1_8, 1
	J2-8_3, 1
	J2-3_5, 1
	J2-5_3, 1
	J2-3_1, 1
	J2-1_8, 1
	J2-8_3, 2
	J2-3_1, 1
	J2-1_8, 5
	J2-8_3, 1
	J2-3_8, 1
	J2-8_3, 21
	J2-3_1, 2
	J2-1_8, 20
	J2-8_3, 20
	J2-3_1, 1
	J2-1_8, 3
	J2-8_1, 1
	J2-1_8, 20
	J2-8_1, 1
	J2-1_8, 4
	J2-8_1, 2
	J2-1_8, 5
	J2-8_3, 1
	J2-3_1, 1
	J2-1_8, 1
	J2-8_3, 21
	J2-3_8, 1
	J2-8_1, 19
	J2-1_8, 5
	J2-8_1, 1
	J2-1_8, 20
	J2-8_3, 1
	J2-3_5, 1
	J2-5_3, 1
	J2-3_5, 1
	J2-5_8, 2
	J2-8_1, 61
	J2-1_8, 19
	J2-8_3, 1
	J2-3_8, 22
	J2-8_3, 1
	J2-3_5, 1
	J2-5_3, 21
	J2-3_1, 21
	J2-1_8, 20
	J2-8_3, 1
	J2-3_1, 91
	J2-1_8, 2
	J2-8_3, 1
	J2-3_1, 1
	J2-1_8, 20
	J2-8_3, 21
	J2-3_1, 1
	J2-1_8, 5
	J2-8_3, 1
	J2-3_8, 21
	J2-8_1, 43
	J2-1_8, 2
R²: -5.2735
RMSE: 0.4493
