State transition: J2-4_2, time: 25
State transition: J2-2_8, time: 1
State transition: J2-8_6, time: 1
State transition: J2-6_7, time: 1
State transition: J2-7_6, time: 2
State transition: J2-6_7, time: 1
State transition: J2-7_6, time: 8
State transition: J2-6_9, time: 1
State transition: J2-9_0, time: 2
State transition: J2-0_7, time: 2
State transition: J2-7_6, time: 1
State transition: J2-6_8, time: 1
State transition: J2-8_2, time: 1
State transition: J2-2_6, time: 4
State transition: J2-6_9, time: 1
State transition: J2-9_0, time: 3
State transition: J2-0_6, time: 4
State transition: J2-6_7, time: 1
State transition: J2-7_6, time: 1
State transition: J2-6_7, time: 2
State transition: J2-7_6, time: 8
State transition: J2-6_9, time: 1
State transition: J2-9_0, time: 2
State transition: J2-0_7, time: 2
State transition: J2-7_6, time: 1
State transition: J2-6_3, time: 1
