J2XA,J2YA,J2ZA,C2
0.4521890948160086,0.6992294991744634,0.2293368180333224,0
0.4528605962933119,0.6986791414419373,0.228030055537406,0
0.4535320977706151,0.7322509631260319,0.231296961777197,0
0.4797206553854418,0.7669235002751789,0.2074485462267233,0
0.5611066344345957,0.7721518987341772,0.2633126429271479,0
0.5619124362073596,0.530820033021464,0.4420124142437112,4
0.5179962395917271,0.6395156851953769,0.4135903299575302,2
0.5718506580714477,0.5192625206384149,0.5191114015027768,4
0.5013430029546065,0.3957072096862961,0.5668082326037243,4
0.4422508729519205,0.4735828288387451,0.4550800392028749,4
0.3697287134031695,0.3172812328013208,0.5589676576282261,1
0.3605962933118453,0.302421574023115,0.711858869650441,1
0.3609991941982272,0.2949917446340121,0.6778830447566155,1
0.3800698361536395,0.3123280132085855,0.6684090166612219,1
0.4031694869728713,0.3134287286736378,0.7102254165305456,1
0.3953800698361536,0.3219592735277931,0.7147990852662529,1
0.4024979854955681,0.3186571271326362,0.711858869650441,1
0.4037066881547139,0.3238855255916346,0.7105521071545247,1
0.4030351866774107,0.3225096312603192,0.7112054884024829,1
0.40290088638195,0.3227848101265823,0.711858869650441,1
0.4019607843137255,0.3236103467253715,0.7125122508983992,1
0.4020950846091861,0.3227848101265823,0.7128389415223783,1
0.4030351866774107,0.3233351678591084,0.7108787977785037,1
0.4020950846091861,0.3241607044578976,0.7121855602744201,1
0.4022293849046467,0.3241607044578976,0.7108787977785037,1
0.4024979854955681,0.3258117776554761,0.711858869650441,1
0.4031694869728713,0.3230599889928453,0.7112054884024829,1
0.4023636852001074,0.3241607044578976,0.7125122508983992,1
0.4024979854955681,0.3244358833241607,0.7125122508983992,1
0.4024979854955681,0.3230599889928453,0.7108787977785037,1
0.4031694869728713,0.3238855255916346,0.7115321790264619,1
0.4022293849046467,0.3233351678591084,0.7128389415223783,1
0.4020950846091861,0.3225096312603192,0.7121855602744201,1
0.4030351866774107,0.3222344523940561,0.7121855602744201,1
0.4024979854955681,0.3225096312603192,0.7108787977785037,1
0.4020950846091861,0.3244358833241607,0.7108787977785037,1
0.4023636852001074,0.3236103467253715,0.7115321790264619,1
0.4027665860864894,0.3236103467253715,0.7115321790264619,1
0.40290088638195,0.3247110621904238,0.7115321790264619,1
0.4023636852001074,0.3244358833241607,0.7121855602744201,1
0.40290088638195,0.3222344523940561,0.7102254165305456,1
0.4027665860864894,0.3258117776554761,0.7112054884024829,1
0.4026322857910287,0.3233351678591084,0.7108787977785037,1
0.40290088638195,0.3236103467253715,0.7115321790264619,1
0.40290088638195,0.3258117776554761,0.7121855602744201,1
0.4027665860864894,0.3227848101265823,0.7112054884024829,1
0.4034380875637926,0.3236103467253715,0.7115321790264619,1
0.403303787268332,0.3219592735277931,0.7115321790264619,1
0.3980660757453667,0.317831590533847,0.7115321790264619,1
0.3839645447219983,0.3032471106219042,0.6991179353152565,1
