State transition: J2-1_4, time: 1
State transition: J2-4_8, time: 1
State transition: J2-8_4, time: 6
State transition: J2-4_11, time: 1
State transition: J2-11_9, time: 1
State transition: J2-9_6, time: 1
State transition: J2-6_3, time: 8
State transition: J2-3_6, time: 1
State transition: J2-6_2, time: 2
State transition: J2-2_5, time: 5
State transition: J2-5_3, time: 1
State transition: J2-3_10, time: 1
State transition: J2-10_3, time: 4
State transition: J2-3_10, time: 9
State transition: J2-10_0, time: 1
State transition: J2-0_10, time: 1
