State transition: J2-1_0, time: 16
State transition: J2-0_2, time: 1
State transition: J2-2_0, time: 23
State transition: J2-0_2, time: 1
State transition: J2-2_0, time: 6
State transition: J2-0_2, time: 1
State transition: J2-2_1, time: 44
State transition: J2-1_2, time: 11
State transition: J2-2_1, time: 43
State transition: J2-1_2, time: 8
State transition: J2-2_1, time: 26
State transition: J2-1_2, time: 10
State transition: J2-2_1, time: 25
State transition: J2-1_2, time: 1
State transition: J2-2_1, time: 44
State transition: J2-1_2, time: 1
