State transition: J2-6_1, time: 19
State transition: J2-1_3, time: 1
State transition: J2-3_6, time: 21
State transition: J2-6_3, time: 22
State transition: J2-3_6, time: 21
State transition: J2-6_3, time: 2
State transition: J2-3_6, time: 20
State transition: J2-6_4, time: 1
State transition: J2-4_5, time: 2
State transition: J2-5_4, time: 1
State transition: J2-4_1, time: 1
State transition: J2-1_7, time: 1
State transition: J2-7_3, time: 1
State transition: J2-3_6, time: 22
State transition: J2-6_3, time: 1
State transition: J2-3_6, time: 19
State transition: J2-6_0, time: 1
State transition: J2-0_3, time: 21
State transition: J2-3_0, time: 3
