State transition: J2-4_10, time: 3
State transition: J2-10_4, time: 40
State transition: J2-4_8, time: 1
State transition: J2-8_3, time: 1
State transition: J2-3_6, time: 2
State transition: J2-6_9, time: 1
State transition: J2-9_6, time: 2
State transition: J2-6_0, time: 2
State transition: J2-0_9, time: 1
State transition: J2-9_6, time: 9
State transition: J2-6_0, time: 2
State transition: J2-0_5, time: 2
State transition: J2-5_6, time: 9
State transition: J2-6_5, time: 2
State transition: J2-5_0, time: 8
State transition: J2-0_5, time: 1
State transition: J2-5_0, time: 1
State transition: J2-0_9, time: 1
State transition: J2-9_6, time: 3
State transition: J2-6_0, time: 4
State transition: J2-0_3, time: 1
State transition: J2-3_8, time: 1
State transition: J2-8_3, time: 1
