State transition: J2-4_1, time: 14
State transition: J2-1_2, time: 22
State transition: J2-2_1, time: 1
State transition: J2-1_5, time: 1
State transition: J2-5_2, time: 21
State transition: J2-2_5, time: 16
State transition: J2-5_2, time: 19
State transition: J2-2_0, time: 2
State transition: J2-0_5, time: 1
State transition: J2-5_2, time: 1
State transition: J2-2_5, time: 1
State transition: J2-5_2, time: 1
State transition: J2-2_0, time: 66
State transition: J2-0_5, time: 21
State transition: J2-5_2, time: 2
State transition: J2-2_0, time: 2
