State transition: J2-9_5, time: 1
State transition: J2-5_9, time: 1
State transition: J2-9_8, time: 1
State transition: J2-8_4, time: 1
State transition: J2-4_11, time: 1
State transition: J2-11_2, time: 1
State transition: J2-2_9, time: 1
State transition: J2-9_8, time: 2
State transition: J2-8_1, time: 61
State transition: J2-1_4, time: 1
State transition: J2-4_11, time: 1
State transition: J2-11_1, time: 21
State transition: J2-1_8, time: 1
State transition: J2-8_11, time: 20
State transition: J2-11_4, time: 1
State transition: J2-4_11, time: 1
State transition: J2-11_1, time: 1
State transition: J2-1_4, time: 19
State transition: J2-4_11, time: 1
State transition: J2-11_5, time: 1
State transition: J2-5_2, time: 2
State transition: J2-2_6, time: 2
State transition: J2-6_3, time: 7
