State transition: J2-8_1, time: 1
State transition: J2-1_8, time: 3
State transition: J2-8_3, time: 21
State transition: J2-3_0, time: 1
State transition: J2-0_4, time: 6
State transition: J2-4_6, time: 12
State transition: J2-6_0, time: 1
State transition: J2-0_4, time: 1
State transition: J2-4_5, time: 1
State transition: J2-5_2, time: 1
State transition: J2-2_5, time: 7
State transition: J2-5_7, time: 2
State transition: J2-7_4, time: 10
State transition: J2-4_7, time: 1
State transition: J2-7_6, time: 22
State transition: J2-6_4, time: 1
State transition: J2-4_6, time: 4
State transition: J2-6_4, time: 10
State transition: J2-4_6, time: 5
State transition: J2-6_0, time: 2
State transition: J2-0_6, time: 13
State transition: J2-6_0, time: 1
State transition: J2-0_4, time: 6
State transition: J2-4_5, time: 8
