State transition: J2-1_2, time: 14
State transition: J2-2_4, time: 19
State transition: J2-4_8, time: 1
State transition: J2-8_3, time: 1
State transition: J2-3_4, time: 1
State transition: J2-4_5, time: 1
State transition: J2-5_1, time: 1
State transition: J2-1_3, time: 1
State transition: J2-3_4, time: 1
State transition: J2-4_0, time: 91
State transition: J2-0_2, time: 1
State transition: J2-2_0, time: 20
State transition: J2-0_2, time: 1
State transition: J2-2_0, time: 20
State transition: J2-0_2, time: 20
State transition: J2-2_0, time: 1
State transition: J2-0_2, time: 19
State transition: J2-2_0, time: 1
