State transition: J2-1_3, time: 1
State transition: J2-3_0, time: 1
State transition: J2-0_5, time: 1
State transition: J2-5_0, time: 2
State transition: J2-0_5, time: 1
State transition: J2-5_0, time: 1
State transition: J2-0_5, time: 1
State transition: J2-5_0, time: 2
State transition: J2-0_5, time: 1
State transition: J2-5_0, time: 2
State transition: J2-0_5, time: 1
State transition: J2-5_0, time: 8
State transition: J2-0_7, time: 2
State transition: J2-7_6, time: 1
State transition: J2-6_4, time: 1
