State transition: J2-2_3, time: 1
State transition: J2-3_2, time: 1
State transition: J2-2_0, time: 1
State transition: J2-0_2, time: 2
State transition: J2-2_9, time: 4
State transition: J2-9_5, time: 9
State transition: J2-5_9, time: 1
State transition: J2-9_1, time: 2
State transition: J2-1_7, time: 1
State transition: J2-7_1, time: 3
State transition: J2-1_7, time: 1
State transition: J2-7_1, time: 3
State transition: J2-1_6, time: 1
State transition: J2-6_3, time: 7
State transition: J2-3_6, time: 1
State transition: J2-6_3, time: 11
State transition: J2-3_6, time: 1
State transition: J2-6_3, time: 1
State transition: J2-3_6, time: 1
State transition: J2-6_3, time: 8
