State transition: J2-6_5, time: 16
State transition: J2-5_1, time: 7
State transition: J2-1_7, time: 1
State transition: J2-7_3, time: 1
State transition: J2-3_6, time: 20
State transition: J2-6_2, time: 4
State transition: J2-2_6, time: 1
State transition: J2-6_2, time: 6
State transition: J2-2_6, time: 1
State transition: J2-6_2, time: 6
State transition: J2-2_6, time: 2
State transition: J2-6_1, time: 1
State transition: J2-1_0, time: 2
State transition: J2-0_3, time: 1
State transition: J2-3_0, time: 42
